'Ref_name','codes','Did','years','last_n','first_n','dob','dod'
B.Hughes,D,BHu,@1997,Hughes,Bronwen,,
H.Hughes,PD,HHu,@1930-1948,Hughes,Howard,1905,1976
J.Hughes,WD,IHu,@1984-1987,Hughes,John,,
K.Hughes,D,KHu,@1952-1978,Hughes,Ken,1922,
T.Hughes,D,THg,@1991,Hughes,Terry,,
Hui,D,AHu,@1983-1990,Hui,A.,,
Huffman,AD,DHu,@1999,Huffman,Dustin,,
Humberstone,D,HBH,@1932-1983,Humberstone,H.Bruce,1903,
Humphrey,D,WmH,@1911,Humphrey,William,,
Hunebelle,D,AHb,@1965,Hunebelle,André,,
Hung,DW,TrH,@1993-1997,Hung,Tran Anh,19xx,
Hunt,ED,PHt,@1969-1983,Hunt,Peter,1928,
R.Hunter,AP,RHu,,Fuss,Martin (Ross),1921,
T.Hunter,D,THu,@1980-1987,Hunter,Tim,,
Huntgeburth,DW,HrH,@1991,Huntgeburth,Hermine,19xx,
G.A.Hurd,PW,,1977-1989,Hurd,Gale Ann,,
Hurst,D,BDH,@1936-1950,Hurst,Brian Desmond,,
xHussein,D,xHu,@1948,Hussein,gn,,
W.Hussein,D,WHu,@1963-1995,Hussein,Waris,1938,
D.Huston,D,DH,@1987,Huston,Danny,,
J.Huston,D,IH,@1941-1987,Huston,John,1906,1987
B.Hutton,D,BGH,@1970-1983,Hutton,Brian G.,,
T.Hutton,D,TiH,@1998,Hutton,Timothy,,
Hyams,DPW,PHy,@1972-1992,Hyams,Peter,1943,
Hytner,D,NHy,@1994-1998b,Hytner,Nicholas,19xx,
Francis Iles,B,,1935,Cox,Anthony Berkeley,,
Im,D,KTI,@1993,Im,Kwon-Taek,19xx,
Imamura,D,ShI,@1950-1998,Imamura,Shohei,1927,
Imboden,D,MaI,@1998,Imboden,Markus,,
R.Ince,AD,RaI,@1921-1937,Ince,Ralph,1882,1937
Th.Ince,DP,ThI,@1911-1925,Ince,Thomas H.,1882,1924
Rex Ingram,AWD,RxI,@1921-1933,Hitchcock,Reginald,1892,1950
Iosseliani,D,OIo,@1993,Iosseliani,Otar,19xx,
D.Ireland,D,DIl,@1996,Ireland,Dan,19xx,
J.Ireland,AD,IIl,@1954,Ireland,John,1914,
Irvin,D,IIr,@1980-1996,Irvin,John,,
Irving,D,DIr,@1980-1984,Irving,David,,
Isasmendi,DWP,AII,@1964-1986,Isasmendi,Antonio Isasi,,199x
Ismael,D,UsI,@1954,Ismael,Usmar,,
Israel,D,NIs,@1984,Israel,Neal,,
Itami,DW,JI,@1984-1989,Itami,Juzo,1934,
Ivory,WD,JIv,@1953-1987,Ivory,James,1928,
Jablonski,D,DzJ,@1999,Jablonski,Dariusz,19xx,19yy
M.Jackson,D,MiJ,@1990-1993,Jackson,Mick,,
P.Jackson,WD,PaJ,@1941-1964,Jackson,Patrick,,
W.Jackson,D,WlJ,@1949,Jackson,Wilfred,,
Peter.Jackson,D,PeJ,@1993,Jackson,Peter,,
Jacobs,D,AJa,@1995,Jacobs,Alan,19xx,
Jacobson,D,AJs,@1927,Jacobson,Arthur,,
Jaeckin,D,JuJ,@1974-1985,Jaeckin,Just,,
Jacquot,D,BJq,@1990-1995,Jacquot,Benoit,,199x
Jaglom,DA,HJ,@1971-1980,Jaglom,Henry,1941,
Jameson,D,JeJ,@1972-1980,Jameson,Jerry,,
Jarman,D,DeJ,@1978-1994,Jarman,Derek,,
Jarmusch,D,JJm,@1983-1989,Jarmusch,Jim,,
Jarrot,D,CJ,@1962-1982,Jarrot,Charles,1927,
Jason,D,LeJ,@1928-1952,Jason,Leigh,1904,1979
Jean,D,RJe,@1989,Jean,Raymond,,
Jeffries,ADW,LJe,@1970-1978,Jeffries,Lionel,1926,
Jeffrey,D,TJe,@1979,Jeffrey,Tom,,
Jenkins,WD,TJk,@1998,Jenkins,Tamara,,
Jennings,D,HuJ,@1943,Jennings,Humphrey,,
H.Jessup,V,,1988,Jessup,Harley,,
Jewell,D,AuJ,@1957,Jewell,Austen,,
Jewison,D,NJ,@1963-1988,Jewison,Norman,1926,
Jhabvala,W,,1965-1993,Jhabvala,Ruth Prawer,19xx,
Jimenez,WD,NJi,@1992,Jimenez,Neal,,
Joanou,D,PhJ,@1990,Joanou,Phil,,
Jodorowsky,DWA,AJy,@1971,Jodorowsky,Alexendro,,
C.R.Joffe,P,,1985,Joffe,Charles R.,19xx,
A.Joffe,CDW,AxJ,@1946,Joffe,Alexandre,1918,
M.Joffe,D,MkJ,@1996-1998,Joffe,Mark,19xx,
R.Joffe,D,RoJ,@1984-1999,Joffe,Roland,,
A.Johnson,D,AlJ,@1983,Johnson,Alan,,
L.Johnson,D,LaJ,@1967-1983,Johnson,Lamont,1920,
M.S.Johnson,WD,MSJ,@1998,Johnson,Mark Steven,19xx,
P.R.Johnson,D,PRJ,@1994,Johnson,Patrick Read,19xx,
Nunally J.,WPD,NuJ,@1953-1965,Johnson,Nunally,1897,1977
Johnston,D,JJo,@1989-1999,Johnston,Joe,,
A.Jones,WD,AJo,@1983,Jones,Amy,,
Ch.Jones,D,CJo,@1940-1990,Jones,Charles M. (Chuck),1912,199x
D.Jones,D,DvJ,@1989-1993,Jones,David,,
F.R.Jones,D,FRJ,@1929,Jones,F.Richard,,
H.Jones,D,HrJ,@1951-1966,Jones,Harmon,1911,1972
K.Jones,WD,KJo,@1998,Jones,Kriak,,
L.Jones,D,LJo,@1973,Jones,Lee,,
J.C.Jones,D,JCJ,@1973,Jones,James Cellan,,
Q.Jones,MP,,,Jones,Quincy,,
L.Q.Jones,AD,LQJ,@1975,McQueen,L.E.,1936,
T.Jones,D,TrJ,@1979-1987,Jones,Terry,,
G.Jordan,D,GlJ,@1973-1993,Jordan,Glenn,,
N.Jordan,WD,NeJ,@1982-1992,Jordan,Neil,1950,
Jordon,D,GJo,@1983,Jordon,Glenn,,
Julian,D,RuJ,@1923-1930,Julian,Rupert,1886,1943
Julien,D,IsJ,@1989-1991,Julien,Isaac,1960,
Adrien Joyce,W,,1975,Eastman,Carol,,
J.Judge,DW,JJu,@1954,Judge,Joel,19xx,
M.Judge,D,MJu,@1998,Judge,Mike,19xx,
Junger,D,GJu,@1999,Junger,Gil,19xx,19yy
Junghans,D,CJu,@1929,Junghans,Carl,,
Junil,D,ZJu,@1949,Junil,Zheng,,
Juran,VD,NJu,@1952-1975,Hertz,Nathan,1907,
Justiniano,D,GoJ,@1985,Justiniano,Gonzalo,19xx,
Jutzi,CD,PJ,@1929-1931,Jutzi,Piel,,
Kaczender,D,GKc,@1973-1983,Kaczender,Georges,,
Kadar,D,JaK,@1956-1977,Kadar,Jan,1918,1979
Kagan,D,JPK,@1982-1983,Kagan,Jeremy Paul,,
Kaige,D,ChK,@1993,Kaige,Chen,,
Kalatozov,D,MKv,@1928-1969,Kalatozov,Mikhail,1903,1973
Kalin,D,ToK,@1992,Kalin,Tom,,
Kaminsky,D,LnK,@1971,Kaminsky,Leon,,
Kan,D,JGK,@1998,Kan,Je Gyu,1960,
Kane,D,JKa,@1935-1957,Kane,Joe,1894,1975
Kanew,D,JKw,@1983-1986,Kanew,Jeff,,
Kanganis,D,CTK,@1994,Kanganis,Charles T.,19xx,
Kanievska,D,MKa,@1984,Kanievska,Marek,,
Kanin,WD,GaK,@1938-1953,Kanin,Garson,1912,
J.Kaplan,D,JKp,@1975-1994,Kaplan,Jonathan,,
N.Kaplan,D,NKp,@1961-1991,Kaplan,Nelly,,
R.Kaplan,D,RKp,@1965,Kaplan,Richard,,
Kapoor,D,RjK,@1971,Kapoor,Raj,,1988
Kapur,D,SKa,@1998,Kapur,Shehkar,,
Karbelnikoff,D,MKb,@1991,Karbelnikoff,Michael,,
Kardos,D,LeK,@1952,Kardos,Leslie,,
Karn,D,BiK,@1960,Karn,Bill,,
Karnad,AWD,GiK,@1970,Karnad,Girish,,
Karsen,D,ErK,@1980-1989,Karsen,Eric,,
Karlson,D,PhK,@1944-1975,Karlstein,Philip (Phil),1908,
Karya,D,TeK,@1982,Karya,Teguh,,
J.Kasdan,D,JoK,@1998,Kasdan,Joe,,
L.Kasdan,WDP,LaK,@1982-1989,Kasdan,Lawrence,,
Kaska,PD,,,Kasha,Larry,,1990
Kassovitz,DA,MuK,@1994,Kassovitz,Mathiau,1969,
Kastle,DW,LKa,@1970,Kastle,Leonard,,
Katani,D,TKa,@1981,Katani,Tom,,
Katchatrian,WD,HaK,@1992,Katchatrian,Haroutiun,19xx,
Katselas,D,MiK,@1972-1979,Katselas,Milton,1933,
Katsouridis,D,DKa,@1971,Katsouridis,Dinos,19xx,
Katzenberg,PD,JKt,@1998,Katzenberg,Jerry,,
Katzman,P,,1967,Katzman,Sam,,
Katzin,D,LHK,@1969-1979,Katzin,Lee H.,1935,
Kaufer,D,JKf,@1998,Kaufer,Jonathan,,
Boris Kaufman,C,,1934,Kaufman,Boris,,
G.S.Kaufman,WD,GSK,@1947,Kaufman,G.S.,,
J.Kaufman,D,JKm,@1918,Kaufman,Joseph,,
Ph.Kaufman,D,PK,@1978-1993,Kaufman,Philip,,
Kaul,WD,MnK,@1990,Kaul,Mani,19xx,
Kaurismaki,D,AKa,@1983-1993,Kaurismäki,Aki,,
Kautner,D,HeK,@1947-1955,Käutner,Helmut,1908,1980
Kavur,D,OKa,@1991,Kavur,Omer,,
Kawajiri,D,YoK,@1979,Kawajiri,Yoshiaki,,
Kawalarowicz,D,JKz,@1990,Kawalarowicz,Jerzy,,
Kaye,CD,TyK,@1998,Kaye,Tony,,
Kaylor,D,RKa,@1980,Kaylor,Robert,,
E.Kazan,ADPW,EK,@1945-1976,Kazanjoglous,Elia,1909,
N.Kazan,WD,NKz,@1994,Kazan,Nicholas,,
Keaton,AD,BsK,@1926,Keaton,Joseph Francis (Buster),1895,1966
Keeler,D,SKe,@1997,Keeler,Stephen,19xx,199x
Keighley,D,WmK,@1932-1953,Keighley,William,1889,
Keller,DP,HKl,@1949-1965,Keller,Harry,1913,
Kelley,WD,IPK,@1997,Kelley,John Patrick,19xx,199x
David Kelly,P,,1993,Kelly,David E.,1956,
Gene Kelly,AD,GKe,@1949-1976,Kelly,Eugene Curran,1912,
Kennedy,D,BuK,@1967-1969,Kennedy,Burt,,
Kenton,D,EaK,@1932-1942,Kenton,Earle C.,,
Kerbosch,D,RlK,@1993,Kerbosch,Roweland,19xx,
Kerkhof,D,IKe,@1992,Kerkhof,Ian,,
Kern,DW,JVK,@1939-1952,Kern,James V.,1909,1966
Kershner,D,IrK,@1958-1990,Kershner,Irvin,1923,
Keshishian,D,AKe,@1991-1994,Keshishian,Alek,1965,
Khan,D,MKh,@1988,Khan,Mohammed,19xx,
Kibbee,WPD,RKi,@1975,Kibbee,Roland,1914,
Kidron,D,BKi,@1992,Kidron,Beeban,,
Kiersch,D,FKi,@1984,Kiersch,Fritz,,
Kieslovski,D,KrK,@1982-1990,Kieślovski,Krzysztof,1941,1996
Jeff.Kimball,C,,1987,Kimball,Jeffrey,,
Kim,D,KDK,@1997,Kim,Kee-Duck,,199x
Anthony Kimmins,ADPW,AKi,@1937-1962,Kimmins,Anthony,1901,1964
Kinegusa,D,TKg,@1954,Kinegusa,Tenosuke,19xx,
B.King,D,BtK,@1923,King,Burton,,
G.King,PD,GeK,@1931-1954,King,George,1900,1966
H.King,D,HK,@1916-1961,King,Henry,1888,1982
L.King,D,LoK,@1934-1954,King,Louis,1898,1962
R.King,D,RkK,@1993,King,Rick,,
St.King,BWD,SpK,@1986,King,Stephen,1948,
Z.King,WPD,ZlK,@1985,King,Zalman,,
Kitchell,D,MkK,@1969,Kitchell,Mark,,
Kinoshita,D,RyK,@1966,Kinoshita,Ryo,,199x
Kitano,D,TKi,@1991,Kitano,Takeshi,,
Kitrosser,WD,MKi,@1991,Kitrosser,Martin,19xx,
Kjellin,AD,AKj,@1961-1965,Kjellin,Alf,,
Klane,D,RKl,@1978,Klane,Robert,,
Klapisch,WD,CKl,@1997,Klapisch,Cedric,,199x
Klaus,D,DKl,@1991,Klaus,Damien,,
Klein,D,WKl,@1966-1985,Klein,William,,
Kleiner,M,,1927,Kleiner,Arthur,,
Kleiser,Dw,RaK,@1975-1992,Kleiser,Randal,,
Klier,D,MKl,@1991,Klier,Michael,,
Kloves,D,SKo,@1989,Kloves,Steve,,
Knowles,D,BeK,@1948,Knowles,Bernard,,
Koch,DP,HoK,@1954-1958,Koch,Howard W.,1903,1992
Koepp,D,VKo,@1996,Koepp,Volker,,19yy
Kohlmar,P,,1947-1967,Kohlmar,Fred,,
Koike,D,MKo,@1985,Koike,Matsato,,
Kojima,D,YKo,@1990,Kojima,Yasufumi,,
Kollek,D,AKl,@1998,Kollek,Amos,,
Koller,D,XaK,@1990,Koller,Xavier,,
Konchalovsky,D,AKo,@1985-1990,Konchalovsky,Andrei,,
Kopple,D,BaK,@1976,Kopple,Barbara,,
A.Korda,PD,AK,,Korda,Sir Alexander,1893,1956
V.Korda,V,,1932-1948,Korda,Vincent,1896,1979
Z.Korda,PD,ZK,@1932-1951,Korda,Zoltan,1895,1961
Korine,WDB,HyK,@1997,Korine,Harmony,1974,199x
Korras,D,GKo,@1988,Korras,Giorgos,,
Kortner,AD,FNK,@1931-1961,Kohn,Fritz Nathan,1892,1970
Korty,D,IKo,@1965-1980,Korty,John,1941,
Kosma,M,,@1938,Kosma,Joseph,19xx,
Koster,D,HKo,@1932-1966,Kosterlitz,Hermann,1905,1988
Kostner,AD,KKo,@1995,Kostner,Kevin,19xx,199x
Kotcheff,D,TKo,@1976-1983,Kotcheff,Ted,,
Koundouros,D,NKo,@1954-1978,Koundouros,Nikos,19xx,
L.Kovacs,C,,1955-1994,Kovacs,Laszlo (Leslie),1933,
Kovacs,D,ZKK,@1987,Kovacs,Zsolt Kezdi,,
Kowalski,D,BKo,@1968,Kowalski,Bernard,,
Krabbe,AD,JKr,@1998,Krabbe,Jeroen,,
Kraly,W,,1915-1927,Kräly,Hans,,
F.Kramer,DW,FKr,@1970,Parrolini,Gianfranco (Frank),,
St.Kramer,PD,SK,@1955-1983,Kramer,Stanley,,
Kranenborg,D,AKr,@1996,Kranenborg,Arno,,
Krantz,P,,1971,Krantz,Steve,,
Krasner,CD,,1955,Krasner,Milton,,
Kress,D,HKr,@1951,Kress,Harold F.,19xx,
Krishnamma,D,SuK,@1995,Krishnamma,Suri,19xx,
Krishtofovich,D,VyK,@1992-1998,Krishtofovich,Vyacheslav,,
Kubrick,WDP,StK,@1953-1999,Kubrick,Stanley,1928,1999
Kuehn,D,AKu,@1984,Kuehn,Andrew,,
Kuleshov,D,LvK,@1927,Kuleshov,Lev,,
Kulik,D,BzK,@1968-1980,Kulik,Buzz,,
Kull,D,EdK,@1935-1938,Kull,Edward,,
Kumar,D,IKu,@1998,Kumar,Indra,,
Kumel,DW,HKu,@1971,Kümel,Harry,,
Kundera,W,,,Kundera,Milos,19bb,
Kureishi,D,HfK,@1991,Kureishi,Hanif,,
Kurys,D,DKu,@1953,KuryS,Diane,,
Kurosawa,DW,AkK,@1943-1991,Kurosawa,Akira,1910,1998
Kusturica,WD,EKu,@1989,Kusturica,Emir,,
Kuzui,DP,FRK,@1992,Kuzui,Fran Rubel,,
Kwan,D,SKw,@1980-1995,Kwan,Stanley,1957,
Kwapis,D,KKw,@1996,Kwapis,Ken,,199x
LaBute,D,NLB,@1997,LaBute,Nick,,199x
LaCava,DW,GLC,@1925-1947,La Cava,Gregory,1892,1952
Lacerte,WD,JqL,@1972,Lacerte,Jaques,,
LeChanois,D,JPL,@1948,Le Chanois,Jaea-Paul,19xx,
Lachman,D,HLa,@1928-1942,Lachman,Harry,1886,1968
Lacombe,D,GLa,@1942,Lacombe,Georges,,
Laemmle,P,,1906-1935,Laemmle,Carl,1867,1939
E.Laemmle,D,ELa,@1929,Laemmle,Ernst,,
Laemmle jr,P,,@1923-1936,Laemmle,Carl jr,1908,1979
Lafia,WD,ILf,@1993,Lafia,John,19xx,
LaGravenese,WD,RLG,@1998,LaGravenese,Richard,,
Laloggia,WDP,FLg,@1981,Lalogia,Frank,1958,
Lalouche,D,CLa,@1995,Lalouche,Claude,,
Laloux,D,RLa,@1973,Laloux,René,,
Lamb,CWDP,ILb,@1961-1965,Lamb,John,,
Lambert,D,MLa,@1989,Lambert,Mary,,
Lamprect,D,MLa,@1989,Lambert,Mary,,
Lamont,D,CLa,@1925-1956,Lamont,Charles,1898,
Lamorisse,D,AlL,@1949-1964,Lamorisse,Albert,1922,1970
Lampin,D,GLm,@1946,Lampin,Georges,19xx,
Lamprecht,D,GLp,@1924-1931,Lamprecht,Gerhard,,
Lane,DA,ChL,@1976,Lane,Charles,1944,
Landers,D,LLa,@1949-1953,Landers,Lew,,
Landis,DW,ILa,@1963-1983,Landis,John,1950,
J.Landon,D,ILd,@1994,Landon,John,,
M.Landon,PD,MLn,@1976,Landon,Michael,,1991
Landres,D,PLd,@1957,Landres,Paul,19xx,
Lanfield,MD,SLa,@1932-1952,Lanfield,Sidney,1900,1972
Ch.Lang,C,,1932-1956,Lang,Charles,,
Ch.Lang jr,C,,1961-1983,Lang,Charles jr.,,
F.Lang,DWA,FL,@1919-1958,Lang,Fritz,1890,1976
J.Lang,P,,1983,Lang,Jennings,,
R.Lang,D,RiL,@1978,Lang,Richard,,
W.Lang,DA,WLa,@1927-1961,Lang,Walter,1896,1972
Langdon,AD,HLg,@1928-1944,Langdon,Harry,1884,1944
Lanza,D,AML,@1970,Lanza,Anthony M.,,
Lanzman,DP,CLz,@1985,Lanzman,Claude,,
Lapine,D,JLp,@1991,Lapine,James,,
Larraz,D,JLr,@1971,Larraz,Joseph,,
Laskos,D,OrL,@1931-1932,Laskos,Orestes,19xx,
Lasky,P,,1914,Lasky,Jesse L.,1880,1958
Lasseter,D,ILt,@1985-1998,Lasseter,John,19xx,199x
A.Laszlo,C,,1964-1992,Laszlo,Andrew,1926,199x
E.Laszlo,C,,1929-1977,Laszlo,Ernest,1905,1984
J.Laszlo,C,,1985-1991,Laszlo,Ernest,,199x
M.Laughlin,D,MSL,@1971-1981,Laughlin,Michael S.,,
T.Laughlin,ADW,ToL,@1967-1971,Frank,Tom C.,,
Laughton,AD,CL,@1955,Laughton,Charles,1899,1962
Launder,WDP,FLd,@1943-1965,Launder,Frank,1907,
Lautner,D,GLt,@1963-1990,Lautner,Georges,,
Lauzon,WD,JLz,@1990-1992,Lauzon,Jean-Claude,,
Laven,D,ALv,@1953-1964,Laven,Arnold,,
Lavin,DW,JLa,@1995`,Lavin,Julianna,19xx,199x
A.Lazarus,D,AsL,@1977,Lazarus,Ashley,,
M.Lazarus,D,MLz,@1993,Lazarus,Margaret,,
Ri.Leacock,CD,RhL,@1960-1968,Leacock,Richard,1921,
Ro.Leacock,D,RtL,@1994,Leacock,Robert,,
Ph.Leacock,D,PhL,@1952-1980,Leacock,Philip,1917,
Leach,DW,WiL,@1982,Leach,Wilford,,
Lean,ED,DL,@1942-1984,Lean,David,1908,
Norman Lear,P,,1967-1972,Lear,Norman,1926,
LeBorg,D,RLB,@1944-1956,Le Borg,Reginald,,
leCarre,B,id,@1999,"Cromwell, le Carre","David, John",1932,199x
Leconte,D,PLe,@1990-1992,Leconte,Patrice,,
H.Leder,D,HJL,@1969,Leder,Herbert J.,,
M.Leder,D,MmL,@1997,Leder,Mimi,19xx,199x
Lederman,D,xLe,@1938,Lederman,fn,,
Leduc,D,PLu,@1986,Leduc,Paul,19xx,
A.Lee,D,AnL,@1992-1997,Lee,Ang,,
N.Lee,D,NoL,@1929-1950,Lee,Norman,,
R.V.Lee,DP,RVL,@1926-1945,Lee,Rowland V.,1891,1975
Q.Lee,D,QuL,@1998,Lee,Quentin,,
Robert E. Lee,W,,,Lee,Robert E.,1919,1994
Spike Lee,MDPA,SpJ,@1986-1998,Jones,Spike Lee,,
Leeds,D,HIL,@1938-1951,Levy,Herbert I.,1900,1954
Lefebvre,D,PLf,@1983,Lefèbvre,Philippe,19xx,
Lefranc,D,GuL,@1968,Lefranc,Guy,19xx,
F.Leger,D,FeL,@1924,Léger,Ferdinand,,
Legrand,M,,1960-19698,Legrand,Michel,,
E.Lehman,WPD,ELh,@1972,Lehman,Earnest,1920,
M.Lehman,D,MLm,@1989,Lehman,Michael,,
Leigh,D,MiL,@1971-1993,Leigh,Mike,,
Leisen,VD,ML,@1933-1957,Leisen,Mitchell,1898,1972
Leland,WD,DLe,@1997,Leland,David,,
Lelouch,D,ClL,@1960-1995,Lelouch,Claude,1937,
LeMoine,,YLM,@1999,Le Moine,Yvan,19xx,19yy
Lemmon,D,JLe,@1974,Lemmon,Jack,,
Lemmons,AWD,KLe,@1997,Lemmons,Kasi,19xx,199x
Leni,D,PlL,@1924-1929,Leni,Paul,1885,1929
Lennart,W,,1968,Lennart,Isobel,,
Leo,D,MLe,@1981,Leo,Malcolm,,
J.Leone,D,ILn,@1976,Leone,John,,
S.Leone,D,SeL,@1961-1984,Leone,Sergio,1921,
B.Leonard,AD,BrL,@1992-1995,Leonard,Brett,,
Leonard,AD,RZL,@1927-1956,Leonard,Robert Z.,1889,1968
Lerner,ED,IrL,@1958,Lerner,Irving,,
Leroi,D,FLr,@1992,Leroi,Frances,,
Leroux,BWP,GaL,,Leroux,Gaston,1868,
M.LeRoy,ADP,MLR,@1927-1965,LeRoy,Mervyn,1900,1987
S.Leroy,D,SLr,@1982,LeRoy,Serge,,
LeSaint,D,EJL,@1916,Le Saint,Edward J.,,
Leslie,WPD,ILs,@1992,Leslie,John,,
Lessac,D,MLs,@1992,Lessac,Michael,,
Lesser,P,,1949-1955,Lesser,Sol,,
M.Lester,D,MLt,@1979-1984,Lester,Mark L.,,
R.Lester,D,RDL,@1961-1984,Lester,Richard `Dick',1932,
Lettich,D,SLe,@1991,Lettich,Sheldon,,
Levant,D,BLv,@1992-1994,Levant,Brian,,
Levey,D,WLe,@1977,Levey,William,,
Levin,D,HeL,@1943-1977,Levin,Henry,1909,1980
Levine,P,,@1997,Levine,Joseph E.,,199x
B.Levinson,WD,BLe,@1982-1992,Levinson,Barry,1932,
F.Levinson,D,FLe,@1972,Levinson,Fred,,
Levitt,D,GLe,@1974,Levitt,Gene,,
Benn Levy,D,,1932,Levy,Benn W.,,
D.Levy,WD,DLv,@1999,Levy,Dani,,
J.Levy,D,JLv,@1994,Levy,Jefery,19xx,
Louis Levy,M,,@1920-1947,Levy,Louis,1893,
Lewicki,D,SLw,@1977,Lewicki,Stephen,,
Lewin,WPD,ALe,@1942-1957,Lewin,Albert,1895,1968
B.Lewin,D,BLw,@1992,Lewin,Ben,,
A.Lewis,P,,,Lewis,Albert E.,1884,1978
H.G.Lewis,WDMC,HGL,@1964-1968,Lewis,Herschell Gordon,,
J.Lewis,ADP,JL,@1960-1964,Lewis,Jerry,,
J.H.Lewis,D,JHL,@1940-1958,Lewis,Joseph H.,1900,
R.Lewis,D,RoL,@1956-1980,Lewis,Robert,,
Val Lewton,P,,1942-1943,Lewton,Val,,
Leytis,D,JsL,@1962,Leytis,Joseph,,
LHerbier,D,LHe,@1919-1947,L'Herbier,Marcel,,
Li,D,SHL,@1991,Li,ShaoHong,19xx,
Libov,D,HLv,@1994,Libov,Howard,19xx,
Lieberman,D,RLi,@1980-1993,Lieberman,Robert,,
Light,D,MLi,@1974,Light,Mike,,
Lima,D,WaL,@1965,Lima,"Walter, Jr.",,
Liman,D,DLi,@1996,Liman,Doug,,199x
Lindberg,D,PLi,@1940,Lindeberg,Per,19xx,
LindsayHogg,D,MLH,@1976-1991,Lindsay-Hogg,Michael,,
Lindtberg,AD,LeL,@1928-1954,Lindtberg,Leopold,1902,
Link,D,CLi,@1998,Link,Caroline,,
Linklater,D,RLl,@1991-1997,Linklater,Richard,,
Linson,D,ALi,@1980,Linson,Art,,
Lipstadt,D,ALs,@1982,Lipstadt,Aaron,,
Lisberger,D,StL,@1982,Lisberger,Steven,,
Little,D,DHL,@1989,Little,Dwight H.,,
Littlewood,D,JLw,@1963,Littlewwod,Joan,1914,
Littman,D,LyL,@1983,Littman,Lynne,,
Litvak,D,AL,@1931-1970,Litvak,Anatole,1902,1974
Livingston,D,JLi,@1991,Livingston,Jennie,,
Llosa,D,LLl,@1993,Llosa,Luis,19xx,
F.Lloyd,ADP,FLl,@1917-1955,Lloyd,Frank,1887,1960
H.Lloyd,ADP,HL,@1922-1930,Lloyd,Harold,,
N.Lloyd,ADP,NLl,@1960-1964,Lloyd,Norman,1914,
R.Lloyd,P,1934,Lloyd,Robert,,,
Loach,D,KLo,@1965-1994,Loach,Ken,1939,
Locke,AD,SLo,@1988-1990,Locke,Sondra,,
B.Logan,WD,BoL,@1981,Logan,Bob,,
J.Logan,WD,JoL,@1938-1969,Logan,Joshua,1908,
Loginotto,D,KLg,@1998,Loginotto,Kim,,
Lokkeberg,WDA,VLo,@1980,Lokkeberg,Vibeke,19xx,
Loncraine,D,RLo,@1982,Loncraine,Richard,,
London,D,JeL,@1986,London,Jerry,,
Lopez,D,TLo,@1993,Lopez,Temistocles,,
Lord,D,JCL,@1981,Lord,Jean Claude,,
Lorre,AWD,PLo,@1951,Löwenstein,Laszlo,1904,1964
loSavio,D,GlS,@1910,lo Savio,Gerolamo,19xx,
Losey,D,JLo,@1948-1983,Losey,Joseph,1909,
Lourie,D,EuL,@1953-1961,Lourie,Eugene,,
Jean Louis,V,,,Louis,Jean,1908,
Lowry,D,DLo,@1983,Lowry,Dick,,
Loy,D,NaL,@1984,Loy,Nanni,19xx,
Lubin,D,ArL,@1934-1971,Lubin,Arthur,1901,
Lubitsch,ADW,EL,@1914-1946,Lubitsch,Ernst,1892,1947
J.M.Lucas,D,IML,@1956-1957,Lucas,John Meredyth,,
G.Lucas,DWP,GgL,@1971-1977,Lucas,George,1945,
Luchetti,D,DLu,@1994,Luchetti,Daniele,19xx,
Lucidi,D,MLu,@1976,Lucidi,Maurice,,
Ludcke,WD,MLd,@1974,Lüdcke,Marianne,,
Ludwig,D,ELu,@1932-1963,Ludwig,Edward,1899,1952
Luhrmann,D,BaL,@1992,Luhrmann,Baz,19xx,
Lumet,DA,SL,@1957-1997,Lumet,Sidney,1924,
A.Lumiere,D,ALu,@1895,Lumiere,Auguste,1862,1954
Lumiere,D,,1895,Lumiere,Louis,1864,1948
Luna,D,BLu,@1993,Luna,Bigas,19xx,
Lungin,WD,PvL,@1990,Lungin,Pavel,1941,
Lupino,AWPD,IdL,@1950-1961,Lupino,Ida,1914,
Luske,D,HLu,@1955,Luske,Hamilton,,
Lustig,D,WLu,@1982,Lustig,William,,
D.Lynch,D,DLy,@1978-1980,Lynch,David,,
J.Lynch,D,JLy,@1993,Lynch,Jennifer,,
P.Lynch,D,PLy,@1980,Lynch,Paul,,
Lynn,D,JnL,@1990-1994,Lynn,Jonathan,,
Lyne,D,AdL,@1983-1993,Lyne,Adrian,,
Lyon,D,FrL,@1956,Lyon,Francis D.,,
McAnuff,D,DMc,@1998,McAnuff,Des,,
MacArthur,WDP,CMA,@1935-1936,MacArthur,Charles,1895,1956
D.MacDonald,D,DMD,@1927-1961,MacDonald,David,1904,1961
R.MacDonald,D,RMc,@1992,MacDonald,Rodney,,
Ross MacDonald,W,,,Millar,Kenneth,,
MacDougall,D,RMD,@1960,MacDougall,Ranald,,
MacFadden,D,HMF,@1930-1942,MacFadden,Hamilton,1901,
MacGowan,P,,,MacGowan,Kenneth M.,1888,1963
Machaty,WD,GMy,@1926-1945,Machaty,Gustav,1898,1963
Mack,D,RMk,@1933,Mack,Russell,19xx,
Mackay,D,WMk,@1909,Mackay,Windsor,19xx,
Mackendrick,WDA,SM,@1949,Mackendrick,Alexander (Sandy),1912,
Mackenzie,D,IMz,@1980,Mackenzie,John,,
MacKinnon,D,GMK,@1992-1999,MacKinnon,Gillies,,
